Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.74,-.33,-.40,-.60,-.30,-.42,-.41,.15,-.42,-.59,-.44,-.46,-.41,***,***,-.43,-.22,-.48
1881,-.71,-.54,-.29,-.18,.06,-1.02,-.45,-.16,-.26,-.39,-.46,-.06,-.37,-.41,-.57,-.14,-.55,-.37
1882,.19,-.04,-.01,-.52,-.30,-.95,-.63,-.04,.00,-.23,-.32,-.60,-.29,-.24,.03,-.28,-.54,-.18
1883,-.60,-.87,-.39,-.24,-.28,.52,.06,-.08,-.37,-.49,-.61,-.31,-.30,-.33,-.69,-.30,.17,-.49
1884,-.52,-.27,-.32,-.87,-1.12,-.75,-.77,.23,-.29,-.69,-.74,-.91,-.59,-.54,-.37,-.77,-.43,-.57
1885,-.85,-.72,-.85,-.80,-.42,-.87,-.55,-.09,-.08,.04,-.31,.08,-.45,-.53,-.83,-.69,-.50,-.12
1886,-.69,-.76,-.62,-.56,-.48,-.76,-.33,-.66,-.35,-.79,-.42,-.68,-.59,-.53,-.46,-.55,-.58,-.52
1887,-.80,-1.20,-.53,-.78,-.80,-.60,-.35,-.19,-.55,-.48,-.86,-.59,-.65,-.65,-.90,-.70,-.38,-.63
1888,-.70,-.78,-.88,-.28,-.73,-.53,-.33,-.32,-.38,-.23,-.03,-.14,-.44,-.48,-.69,-.63,-.39,-.21
1889,-.29,.18,.07,.13,.11,-.29,-.40,-.58,-.35,-.19,-.43,-.39,-.20,-.18,-.08,.10,-.42,-.32
1890,-.59,-.61,-.60,-.49,-.89,-.56,-.55,-.57,-.31,-.25,-.76,-.53,-.56,-.55,-.53,-.66,-.56,-.44
1891,-.95,-1.04,-.51,-.62,-.44,-.51,-.67,-.54,-.45,-.53,-.48,.06,-.56,-.61,-.84,-.52,-.57,-.49
1892,-.61,-.30,-.58,-.70,-.65,-.56,-.37,-.26,-.47,-.34,-.62,-.59,-.50,-.45,-.29,-.64,-.40,-.48
1893,-1.42,-.99,-.59,-.66,-.74,-.68,-.11,-.33,-.23,-.06,-.11,-.36,-.52,-.54,-1.00,-.66,-.37,-.13
1894,-.75,-.60,-.38,-.63,-.65,-.48,-.37,-.30,-.40,-.07,-.14,-.16,-.41,-.43,-.57,-.55,-.38,-.20
1895,-.67,-.75,-.49,-.44,-.29,-.28,-.52,-.17,-.12,-.07,-.14,-.07,-.33,-.34,-.53,-.41,-.32,-.11
1896,-.23,-.28,-.52,-.45,-.41,-.44,-.18,-.35,-.08,-.01,-.42,-.19,-.30,-.29,-.19,-.46,-.33,-.17
1897,-.24,-.47,-.29,-.10,-.24,-.16,-.09,-.29,-.12,-.19,.01,-.21,-.20,-.20,-.30,-.21,-.18,-.10
1898,-.12,-.43,-.80,-.57,-.64,-.30,-.34,-.21,.00,-.39,-.48,-.21,-.37,-.37,-.25,-.67,-.29,-.29
1899,-.42,-.59,-.36,-.23,-.40,-.53,-.30,-.27,-.01,-.28,-.02,-.20,-.30,-.30,-.40,-.33,-.37,-.10
1900,-.53,-.05,-.18,-.17,-.18,-.11,-.35,-.16,-.07,.16,-.13,-.07,-.15,-.16,-.26,-.17,-.21,-.01
1901,-.23,-.11,-.12,-.07,-.19,.03,-.25,-.19,.05,-.16,-.14,-.22,-.13,-.12,-.13,-.13,-.13,-.08
1902,-.30,-.03,-.18,-.20,-.31,-.33,-.43,-.50,-.40,-.41,-.48,-.55,-.34,-.32,-.18,-.23,-.42,-.43
1903,-.33,-.12,-.17,-.56,-.45,-.64,-.30,-.41,-.39,-.46,-.45,-.59,-.41,-.40,-.33,-.39,-.45,-.43
1904,-.78,-.74,-.55,-.44,-.64,-.48,-.59,-.47,-.43,-.51,-.25,-.40,-.52,-.54,-.71,-.54,-.52,-.40
1905,-.41,-.96,-.22,-.31,-.34,-.29,-.42,-.26,-.20,-.36,-.07,-.24,-.34,-.35,-.59,-.29,-.32,-.21
1906,-.14,-.28,-.31,.06,-.19,-.22,-.21,-.15,-.28,-.17,-.51,-.22,-.22,-.22,-.22,-.15,-.19,-.32
1907,-.46,-.64,-.45,-.59,-.58,-.66,-.41,-.53,-.37,-.31,-.58,-.65,-.52,-.48,-.44,-.54,-.53,-.42
1908,-.36,-.30,-.49,-.45,-.32,-.42,-.38,-.37,-.14,-.37,-.56,-.38,-.38,-.40,-.44,-.42,-.39,-.36
1909,-.76,-.56,-.48,-.59,-.57,-.40,-.32,-.08,-.16,-.14,-.11,-.53,-.39,-.38,-.56,-.55,-.27,-.14
1910,-.43,-.36,-.44,-.27,-.23,-.33,-.21,-.12,-.08,-.28,-.51,-.63,-.32,-.32,-.44,-.31,-.22,-.29
1911,-.65,-.64,-.61,-.52,-.37,-.37,-.15,-.24,-.24,-.16,-.12,-.23,-.36,-.39,-.64,-.50,-.25,-.18
1912,-.16,-.09,-.41,-.28,-.17,-.25,-.49,-.61,-.34,-.46,-.41,-.32,-.33,-.32,-.16,-.29,-.45,-.40
1913,-.44,-.49,-.58,-.30,-.62,-.61,-.22,-.20,-.20,-.29,-.13,.06,-.33,-.37,-.41,-.50,-.34,-.21
1914,.15,-.03,-.03,-.20,-.02,-.10,-.22,-.07,-.07,.13,-.32,-.21,-.08,-.06,.06,-.08,-.13,-.08
1915,-.16,.07,-.09,-.01,-.22,-.22,.03,-.19,-.01,-.09,.05,-.10,-.08,-.09,-.10,-.11,-.13,-.01
1916,-.06,-.10,-.44,-.28,-.35,-.49,-.36,-.10,-.17,-.14,-.36,-.80,-.30,-.25,-.09,-.35,-.32,-.22
1917,-.52,-.74,-.79,-.53,-.80,-.47,.00,-.38,-.31,-.49,-.31,-.94,-.52,-.51,-.69,-.70,-.28,-.37
1918,-.62,-.58,-.48,-.55,-.77,-.43,-.48,-.47,-.16,.02,-.25,-.35,-.43,-.48,-.71,-.60,-.46,-.13
1919,-.28,-.23,-.10,-.12,-.16,-.17,-.07,-.07,-.18,-.05,-.42,-.29,-.18,-.18,-.29,-.13,-.10,-.22
1920,-.11,-.28,-.17,-.21,-.32,-.38,-.21,-.15,-.16,-.44,-.34,-.48,-.27,-.25,-.22,-.23,-.25,-.31
1921,-.02,-.16,-.12,-.19,-.19,-.10,.01,-.47,-.14,-.10,-.26,-.18,-.16,-.18,-.22,-.17,-.19,-.17
1922,-.41,-.47,-.32,-.11,-.37,-.32,-.03,-.24,-.14,-.25,-.11,-.15,-.24,-.24,-.35,-.26,-.20,-.17
1923,-.25,-.21,-.23,-.46,-.32,-.28,-.50,-.36,-.29,-.09,-.02,-.08,-.26,-.26,-.20,-.34,-.38,-.13
1924,-.28,-.42,-.13,-.51,-.28,-.16,-.14,-.16,-.06,-.13,-.06,-.28,-.22,-.20,-.26,-.31,-.15,-.08
1925,-.42,-.35,-.27,-.15,-.33,-.40,-.41,-.09,-.30,-.35,-.02,.19,-.24,-.28,-.35,-.25,-.30,-.22
1926,.25,.28,.20,-.12,-.36,-.22,-.16,.02,.02,-.11,.03,-.25,-.04,.00,.24,-.09,-.12,-.02
1927,-.19,-.18,-.38,-.34,-.30,-.27,-.05,-.26,-.12,.13,.11,-.24,-.18,-.18,-.21,-.34,-.19,.04
1928,.06,-.02,-.10,-.08,-.39,-.56,-.07,-.04,.02,-.04,.08,-.05,-.10,-.12,-.07,-.19,-.22,.02
1929,-.29,-.52,-.36,-.44,-.42,-.44,-.38,-.37,-.20,.02,-.04,-.60,-.34,-.29,-.28,-.41,-.40,-.08
1930,-.22,-.20,-.05,-.23,-.16,-.23,-.20,-.17,-.13,-.27,.11,-.07,-.15,-.20,-.34,-.15,-.20,-.10
1931,-.15,-.29,-.06,-.30,-.18,-.09,.07,.08,-.18,.03,-.18,.06,-.10,-.11,-.17,-.18,.02,-.11
1932,.32,-.28,-.22,.05,-.20,-.47,-.24,-.19,.04,.07,-.11,-.16,-.12,-.10,.03,-.12,-.30,.00
1933,-.38,-.29,-.27,-.20,-.14,-.28,-.14,-.20,-.11,-.10,-.37,-.57,-.25,-.22,-.28,-.21,-.20,-.20
1934,-.16,-.13,-.37,-.36,-.01,-.19,-.01,.05,-.10,-.07,.04,.06,-.10,-.16,-.28,-.25,-.05,-.04
1935,-.34,.21,.01,-.51,-.37,-.24,-.30,-.27,-.41,-.08,-.34,-.20,-.24,-.21,-.02,-.29,-.27,-.28
1936,-.30,-.45,-.18,-.05,-.31,-.19,.19,-.01,-.03,-.01,.01,.09,-.10,-.13,-.32,-.18,-.01,-.01
1937,-.13,.04,-.22,-.21,-.04,-.07,-.14,.03,.22,.18,.27,-.10,-.01,.00,.00,-.15,-.06,.22
1938,-.02,-.02,.18,.26,.07,-.14,.00,-.09,.09,.29,.10,-.13,.05,.05,-.05,.17,-.08,.16
1939,-.04,-.19,-.37,-.18,-.03,-.11,-.14,-.26,-.15,-.10,-.18,.33,-.12,-.16,-.12,-.19,-.17,-.15
1940,-.22,.05,.09,.01,.05,.15,.20,.07,.18,.04,.05,.22,.08,.08,.05,.05,.14,.09
1941,.02,.20,-.12,.00,.09,.12,.26,.03,-.21,.09,-.06,.02,.04,.05,.15,-.01,.14,-.06
1942,.19,-.03,-.02,-.03,.01,.05,.03,.09,.05,-.02,.11,.03,.04,.04,.06,-.02,.06,.05
1943,-.23,.01,-.17,-.03,-.12,-.13,.07,-.19,.03,.26,.06,.18,-.02,-.04,-.06,-.11,-.09,.12
1944,.29,.11,.08,-.09,-.08,-.08,.02,.04,.20,.19,-.01,-.22,.04,.07,.20,-.03,.00,.13
1945,-.01,-.16,-.03,.10,-.28,-.32,-.24,.17,.03,.02,-.09,-.38,-.10,-.09,-.13,-.07,-.13,-.01
1946,-.02,-.07,-.18,.01,-.02,-.20,.03,-.06,-.01,-.17,-.10,-.33,-.09,-.10,-.16,-.06,-.08,-.10
1947,-.16,.01,.16,.10,-.03,-.01,-.06,-.02,-.01,.22,.21,-.18,.02,.01,-.16,.08,-.03,.14
1948,.18,-.17,-.29,-.13,.02,.04,-.17,-.19,.00,-.04,-.18,-.21,-.10,-.09,-.06,-.13,-.11,-.07
1949,.02,-.37,-.09,-.26,-.15,-.17,-.11,-.12,-.07,.00,-.06,-.18,-.13,-.13,-.19,-.17,-.13,-.04
1950,-.31,-.32,-.06,-.23,-.22,-.10,-.13,-.34,-.19,-.22,-.42,-.19,-.23,-.23,-.27,-.17,-.19,-.28
1951,-.39,-.49,-.17,-.06,.03,-.07,-.07,.07,.06,-.02,-.05,.11,-.09,-.11,-.36,-.06,-.02,.00
1952,.06,.08,-.20,-.09,-.14,-.12,.02,.07,.11,-.04,-.22,-.05,-.04,-.03,.09,-.14,-.01,-.05
1953,.09,.04,.13,.09,-.05,.01,-.05,.09,.07,.04,.00,.13,.05,.03,.03,.06,.02,.03
1954,-.33,-.10,-.12,-.16,-.20,-.22,-.27,-.19,-.18,-.01,.16,-.13,-.15,-.12,-.10,-.16,-.22,-.01
1955,.21,-.11,-.40,-.19,-.18,-.19,-.18,.09,-.12,.00,-.25,-.32,-.14,-.12,-.01,-.26,-.09,-.12
1956,-.25,-.33,-.34,-.26,-.31,-.11,-.13,-.33,-.16,-.25,-.25,-.21,-.24,-.25,-.30,-.30,-.19,-.22
1957,-.15,-.06,-.09,-.01,-.01,.13,-.13,.13,.09,-.01,.12,.19,.02,-.02,-.14,-.04,.04,.07
1958,.41,.24,.18,.08,.11,-.18,.07,-.11,-.07,.09,.07,-.08,.07,.09,.28,.12,-.07,.03
1959,.03,.08,.23,.18,-.01,.07,.10,.00,-.14,-.10,-.09,.08,.04,.02,.01,.13,.06,-.11
1960,.07,.26,-.47,-.21,-.14,-.02,-.12,.07,.08,.11,-.11,.17,-.03,-.03,.14,-.27,-.02,.03
1961,.08,.21,.03,.12,.17,.12,.00,.07,.16,.09,.07,-.14,.08,.11,.15,.10,.06,.11
1962,.07,.16,.10,.05,-.11,.05,-.13,-.08,.01,.02,.10,.00,.02,.01,.03,.01,-.05,.04
1963,-.01,.24,-.23,-.19,-.13,.03,.06,.19,.22,.10,.05,-.05,.02,.03,.08,-.18,.09,.12
1964,-.07,-.17,-.28,-.36,-.33,-.13,-.08,-.29,-.37,-.35,-.21,-.34,-.25,-.23,-.10,-.32,-.17,-.31
1965,-.06,-.18,-.12,-.29,-.16,-.15,-.26,-.08,-.27,-.10,-.13,-.19,-.17,-.18,-.19,-.19,-.17,-.16
1966,-.22,-.03,.14,-.09,-.10,-.04,.11,-.10,-.02,-.26,-.05,-.08,-.06,-.07,-.15,-.02,-.01,-.11
1967,-.08,-.26,.01,-.09,.17,-.12,.05,.03,-.01,.11,.00,.00,-.01,-.02,-.14,.03,-.02,.04
1968,-.21,-.17,.32,-.09,-.18,-.12,-.13,-.08,-.27,.06,-.07,-.21,-.10,-.08,-.13,.02,-.11,-.09
1969,-.16,-.27,-.10,.11,.15,.04,-.03,-.09,.01,.08,.08,.33,.01,-.03,-.21,.06,-.03,.06
1970,.04,.27,.10,.12,-.05,.12,.09,-.07,.16,.11,.04,-.10,.07,.10,.21,.06,.04,.10
