Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.41,-.60,-.30,-.71,-.24,-.30,-1.23,-.84,-.51,-.17,-.37,-.28,.04,*****
1881,-.37,-.45,-.40,-.52,-.22,-.45,-1.01,-.73,-.22,-.16,-.26,-.40,-.24,*****
1882,-.29,-.44,-.26,-.54,-.07,-.32,-1.46,-.48,-.34,-.01,-.15,-.27,-.10,*****
1883,-.30,-.62,-.11,-.74,-.15,-.15,-.29,-1.03,-.61,-.15,-.04,-.16,.27,*****
1884,-.59,-.84,-.44,-.95,-.42,-.45,-1.29,-1.06,-.77,-.38,-.44,-.32,-.65,*****
1885,-.45,-.66,-.39,-.78,-.20,-.41,-1.34,-.84,-.57,-.11,-.36,-.32,-.42,*****
1886,-.59,-.63,-.58,-.71,-.44,-.52,-1.24,-.68,-.59,-.30,-.81,-.44,-.47,*****
1887,-.65,-.65,-.66,-.73,-.51,-.58,-1.61,-.85,-.39,-.36,-.89,-.57,-.23,*****
1888,-.44,-.63,-.38,-.76,-.21,-.41,-1.54,-.95,-.39,-.13,-.33,-.13,-.81,*****
1889,-.20,-.32,-.20,-.43,.07,-.35,-.71,-.49,-.31,.09,.08,-.20,-.49,*****
1890,-.56,-.51,-.67,-.57,-.54,-.48,-1.11,-.77,-.25,-.28,-.94,-.52,-.17,*****
1891,-.56,-.47,-.73,-.59,-.46,-.52,-1.28,-.51,-.44,-.10,-1.03,-.45,-.45,*****
1892,-.50,-.53,-.57,-.62,-.39,-.52,-1.43,-.75,-.29,-.21,-.60,-.52,-.29,*****
1893,-.52,-.54,-.60,-.60,-.53,-.42,-.98,-.64,-.45,-.31,-.77,-.58,.22,*****
1894,-.41,-.42,-.50,-.50,-.42,-.29,-1.20,-.52,-.23,-.20,-.67,-.40,.19,*****
1895,-.33,-.40,-.35,-.51,-.25,-.26,-.91,-.60,-.28,-.08,-.44,-.27,-.03,*****
1896,-.30,-.37,-.37,-.54,-.22,-.13,-1.19,-.69,-.18,.10,-.58,-.11,.02,*****
1897,-.20,-.22,-.25,-.36,.03,-.34,-.71,-.38,-.21,.19,-.15,-.20,-.43,*****
1898,-.37,-.31,-.50,-.39,-.30,-.45,-1.20,-.33,-.14,-.09,-.52,-.33,-.52,*****
1899,-.30,-.16,-.53,-.25,-.27,-.37,-1.12,-.18,.01,.10,-.68,-.25,-.42,*****
1900,-.15,-.10,-.24,-.18,-.01,-.32,-.67,-.15,-.01,.13,-.16,-.18,-.45,*****
1901,-.13,-.07,-.23,-.12,-.10,-.17,-.53,.04,-.12,.08,-.29,-.16,.04,*****
1902,-.34,-.40,-.36,-.59,-.05,-.48,-1.70,-.65,-.12,.11,-.22,-.31,-.70,*****
1903,-.41,-.34,-.51,-.43,-.25,-.59,-.55,-.37,-.43,-.08,-.43,-.53,-.47,-1.34
1904,-.52,-.42,-.66,-.44,-.58,-.53,-.38,-.48,-.43,-.38,-.80,-.43,-.45,-1.72
1905,-.34,-.29,-.40,-.36,-.22,-.48,-.22,-.22,-.52,-.14,-.31,-.43,-.38,-.90
